Luas lantai (m2),jenis dinding,jenis lantai,kepemilikan ftbab,sumber ir minum,sumber penerangan,bahan bakar,Banyak ART,outcome
35,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Miskin
28,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Miskin
96,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
108,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
40,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,7,Miskin
30,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,5. Sumur terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,2,Tidak miskin
35,3. Kayu/papan,7. Bambu,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Miskin
144,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
32,5. Batang kayu,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
96,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,3. Elpiji 12 kg,2,Tidak miskin
30,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
35,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,5,Tidak miskin
72,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
30,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
140,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,10,Tidak miskin
54,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
48,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
72,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,2,Tidak miskin
30,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
45,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
40,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
30,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
70,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,10,Miskin
90,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Tidak miskin
72,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Tidak miskin
99,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
29,3. Kayu/papan,5. Kayu/papan,6. Lainnya,4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Miskin
30,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
12,3. Kayu/papan,5. Kayu/papan,6. Lainnya,4. Sumur bor/pompa,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
56,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
55,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
54,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
87,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,3. Elpiji 12 kg,4,Tidak miskin
54,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
54,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
70,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
30,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
32,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,3,Tidak miskin
54,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,8,Tidak miskin
40,2. Plesteran anyaman bambu/kawat,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
36,3. Kayu/papan,8. Tanah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Tidak miskin
64,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
35,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
80,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Miskin
37,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,4. Sumur bor/pompa,2.Listrik PLN tanpa meteran,10. Kayu bakar,3,Tidak miskin
60,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,7. Minyak tanah,8,Tidak miskin
60,3. Kayu/papan,5. Kayu/papan,6. Lainnya,4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Miskin
108,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
30,1. Tembok,6. Semen/bata merah,6. Lainnya,5. Sumur terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,4,Tidak miskin
57,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,10,Miskin
50,3. Kayu/papan,5. Kayu/papan,6. Lainnya,4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
78,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
50,1. Tembok,8. Tanah,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,8,Miskin
40,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Tidak miskin
70,1. Tembok,4. Ubin/tegel/teraso,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,10,Tidak miskin
12,3. Kayu/papan,9. Lainnya,6. Lainnya,7. Mata air terlindung,4. Bukan listrik,10. Kayu bakar,4,Miskin
45,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
117,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
35,4. Ayaman bambu,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,6,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Tidak miskin
32,4. Ayaman bambu,7. Bambu,6. Lainnya,7. Mata air terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,2,Tidak miskin
40,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,8,Miskin
216,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
45,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
30,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
16,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
20,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
120,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Miskin
108,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
105,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
264,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
99,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
63,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
100,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
45,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Miskin
243,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,3. Elpiji 12 kg,7,Tidak miskin
17,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
56,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Miskin
70,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
63,3. Kayu/papan,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
160,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
45,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",8. Mata air tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
20,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,1,Tidak miskin
54,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
20,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,2,Miskin
28,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
48,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",8. Mata air tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,9,Miskin
35,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
70,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Miskin
20,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,4,Miskin
30,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
112,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
216,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
60,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
72,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
247,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
195,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
28,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
30,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Miskin
126,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
98,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Miskin
48,4. Ayaman bambu,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
96,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
96,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Miskin
96,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Tidak miskin
104,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
50,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
72,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
55,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
104,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",4. Sumur bor/pompa,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
30,3. Kayu/papan,5. Kayu/papan,6. Lainnya,6. Sumur tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
50,3. Kayu/papan,5. Kayu/papan,6. Lainnya,4. Sumur bor/pompa,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Miskin
30,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",8. Mata air tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
35,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,2,Miskin
54,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
36,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
32,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
24,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,4,Miskin
45,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Tidak miskin
40,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
24,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,3,Tidak miskin
195,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,"2. Elpiji 5,5 kg/blue gas",4,Tidak miskin
54,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
63,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
176,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,3. Elpiji 12 kg,4,Tidak miskin
225,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
162,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
30,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
48,1. Tembok,6. Semen/bata merah,6. Lainnya,3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
150,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,1,Tidak miskin
144,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
120,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
24,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,2,Tidak miskin
96,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
24,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
90,3. Kayu/papan,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
88,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
132,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
224,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,3. Elpiji 12 kg,3,Tidak miskin
160,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,1. Listrik,1,Tidak miskin
150,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
63,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,8,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
180,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,3. Elpiji 12 kg,2,Tidak miskin
21,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
119,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,4. Elpiji 3 kg,3,Tidak miskin
99,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,3. Elpiji 12 kg,4,Tidak miskin
80,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
42,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
135,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
